"Module","Service","Function","Endpoint","Create DTO","Update DTO","Detail DTO","List DTO","Filter DTO","Fields"
"BiddingForm","BiddingFormService","update","POST urlsApi.biddingForm.update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BiddingForm","BiddingFormService","delete","DELETE `${urlsApi.biddingForm.delete}?id=${id}`","","","","","",""
"BiddingForm","BiddingFormService","detail","GET `${urlsApi.biddingForm.detail}?id=${id}`","","","Query DTO: id required.","","",""
"BiddingForm","BiddingFormService","getGrid","GET `${urlsApi.biddingForm.getGrid}${convertParamsToString(params)}`","","","Query DTO: id required.","","","id:number|string required<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BlackList","BlackListService","update","POST /bpmapi/bpmParticipant/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BoughtCard","BoughtCardService","list","GET /adminapi/boughtCardService/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BoughtCard","BoughtCardService","add","POST /adminapi/boughtCardService/update","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BoughtCard","BoughtCardService","delete","DELETE /adminapi/boughtCardService/delete","","","","","",""
"BoughtCard","BoughtCardService","update","POST /adminapi/boughtCardService/update/cardNumber","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BoughtCard","BoughtCardService","listBoughtCardByCustomerId","GET /adminapi/boughtCardService/getBoughtCardServiceByCustomerId","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BoughtCard","BoughtCardService","updateCustomerCard","POST /adminapi/boughtCard/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BoughtCard","BoughtCardService","listLoyaltyPoint","GET /adminapi/loyaltyPointLedger/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BoughtProduct","BoughtProductService","list","GET /adminapi/boughtProduct/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BoughtProduct","BoughtProductService","addProductToInvoice","POST /adminapi/boughtProduct/update","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BoughtProduct","BoughtProductService","getByCustomerId","GET /adminapi/boughtProduct/getBoughtProductByCustomerId","","","Query DTO: id required.","","",""
"BoughtProduct","BoughtProductService","update","POST /adminapi/boughtProduct/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BoughtProduct","BoughtProductService","detail","GET /adminapi/boughtProduct/get","","","Query DTO: id required.","","",""
"BoughtProduct","BoughtProductService","delete","DELETE /adminapi/boughtProduct/delete","","","","","",""
"BoughtService","BoughtServiceService","addProductToInvoice","POST /adminapi/boughtService/update","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BoughtService","BoughtServiceService","getByCustomerId","GET /adminapi/boughtService/getBoughtServiceByCustomerId","","","Query DTO: id required.","","",""
"BoughtService","BoughtServiceService","update","POST /adminapi/boughtService/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BoughtService","BoughtServiceService","detail","GET /adminapi/boughtService/get","","","Query DTO: id required.","","",""
"BoughtService","BoughtServiceService","delete","DELETE /adminapi/boughtService/delete","","","","","",""
"BpmEformMapping","BpmEformMappingService","listSource","GET /bpmapi/eformMapping/list/source","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BpmEformMapping","BpmEformMappingService","detail","GET /bpmapi/eformMapping/get","","","Query DTO: id required.","","",""
"BpmEformMapping","BpmEformMappingService","update","POST /bpmapi/eformMapping/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BpmEformMapping","BpmEformMappingService","delete","DELETE /bpmapi/eformMapping/delete","","","","","",""
"BpmEformMapping","BpmEformMappingService","listEform","GET /adminapi/bpm/list/eform","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BpmFormArtifact","BpmFormArtifactService","list","GET /bpmapi/bpmFormArtifact/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BpmFormArtifact","BpmFormArtifactService","update","POST /bpmapi/bpmFormArtifact/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BpmFormArtifact","BpmFormArtifactService","detail","GET /bpmapi/bpmFormArtifact/get","","","Query DTO: id required.","","",""
"BpmFormArtifact","BpmFormArtifactService","delete","DELETE /bpmapi/bpmFormArtifact/delete","","","","","",""
"BpmFormArtifact","BpmFormArtifactService","updatePosition","POST /bpmapi/bpmFormArtifact/update/position","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BpmFormArtifact","BpmFormArtifactService","updateConfig","POST /bpmapi/bpmFormArtifact/update/config","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BpmFormArtifact","BpmFormArtifactService","updateEform","POST /bpmapi/bpmFormArtifact/update/eform","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BpmFormMapping","BpmFormMappingService","list","GET /bpmapi/formMapping/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BpmFormMapping","BpmFormMappingService","listSource","GET /bpmapi/formMapping/list/source","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BpmFormMapping","BpmFormMappingService","listTarget","GET /bpmapi/formMapping/list/target","","","Query DTO: id required.","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string required<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BpmFormMapping","BpmFormMappingService","detail","GET /bpmapi/formMapping/get","","","Query DTO: id required.","","",""
"BpmFormMapping","BpmFormMappingService","update","POST /bpmapi/formMapping/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BpmFormMapping","BpmFormMappingService","delete","DELETE /bpmapi/formMapping/delete","","","","","",""
"BpmFormProcess","BpmFormProcessService","list","GET /bpmapi/bpmFormProcess/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BpmFormProcess","BpmFormProcessService","detail","GET /bpmapi/bpmFormProcess/get","","","Query DTO: id required.","","",""
"BpmFormProcess","BpmFormProcessService","update","POST /bpmapi/bpmFormProcess/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BpmFormProcess","BpmFormProcessService","delete","DELETE /bpmapi/bpmFormProcess/delete","","","","","",""
"BpmForm","BpmFormService","list","GET /bpmapi/bpmForm/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BpmForm","BpmFormService","update","POST /bpmapi/bpmForm/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BpmForm","BpmFormService","delete","DELETE /bpmapi/bpmForm/delete","","","","","",""
"BpmParticipant","BpmParticipantService","list","GET /bpmapi/bpmParticipant/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BpmParticipant","BpmParticipantService","detail","GET /bpmapi/bpmParticipant/get","","","Query DTO: id required.","","",""
"BpmParticipant","BpmParticipantService","update","POST /bpmapi/bpmParticipant/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BpmParticipant","BpmParticipantService","delete","DELETE /bpmapi/bpmParticipant/delete","","","","","",""
"BrandName","BrandNameService","list","GET /adminapi/brandname/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BrandName","BrandNameService","update","POST /adminapi/brandname/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BrandName","BrandNameService","detail","GET /adminapi/brandname/delete","","","Query DTO: id required.","","",""
"BrandName","BrandNameService","delete","DELETE /adminapi/brandname/delete","","","","","",""
"BrandName","BrandNameService","listWhiteList","GET /adminapi/whitelist/brandname/contact/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BrandName","BrandNameService","updateWhiteList","POST /adminapi/whitelist/brandname/contact/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BrandName","BrandNameService","deleteWhiteList","DELETE /adminapi/whitelist/brandname/contact/delete","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","",""
"BrandName","BrandNameService","changeStatusWhiteList","POST /adminapi/whitelist/brandname/update","","Body DTO or query id + mutable fields/status/action metadata.","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean required<br>pageIndex|pageSize|keyword:number|string required"
"BuildingFloor","BuildingFloorService","list","GET /buildingFloor/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BuildingFloor","BuildingFloorService","update","POST /buildingFloor/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BuildingFloor","BuildingFloorService","detail","GET /buildingFloor/get","","","Query DTO: id required.","","",""
"BuildingFloor","BuildingFloorService","delete","DELETE /buildingFloor/delete","","","","","",""
"Building","BuildingService","list","GET /building/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Building","BuildingService","update","POST /building/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Building","BuildingService","detail","GET /building/get","","","Query DTO: id required.","","",""
"Building","BuildingService","delete","DELETE /building/delete","","","","","",""
"BusinessCategory","BusinessCategoryService","list","GET /businessCategory/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BusinessCategory","BusinessCategoryService","update","POST /businessCategory/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessCategory","BusinessCategoryService","updateActive","POST /businessCategory/update/active","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean required<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessCategory","BusinessCategoryService","detail","GET /businessCategory/get","","","Query DTO: id required.","","",""
"BusinessCategory","BusinessCategoryService","delete","DELETE /businessCategory/delete","","","","","",""
"BusinessProcess","BusinessProcessService","list","GET /bpmapi/businessProcess/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BusinessProcess","BusinessProcessService","clone","POST /bpmapi/businessProcess/clone","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","update","POST /bpmapi/businessProcess/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","detail","GET /bpmapi/businessProcess/detail","","","Query DTO: id required.","","",""
"BusinessProcess","BusinessProcessService","delete","DELETE /bpmapi/businessProcess/delete","","","","","",""
"BusinessProcess","BusinessProcessService","addNode","POST /bpmapi/businessProcess/configNode/update","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","deleteNode","DELETE /bpmapi/businessProcess/node/delete","","","","","",""
"BusinessProcess","BusinessProcessService","updateLinkNode","POST /bpmapi/businessProcess/updateConfig","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","listStep","GET /bpmapi/workflow/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BusinessProcess","BusinessProcessService","updateStep","POST /bpmapi/workflow/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","deleteStep","DELETE /bpmapi/workflow/delete","","","","","",""
"BusinessProcess","BusinessProcessService","updateSLA","POST /bpmapi/businessProcess/update/sla","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","listWorkFlow","GET /bpmapi/workflowStatus/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BusinessProcess","BusinessProcessService","listWorkflowCloud","GET /adminapi/workflowStatus/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BusinessProcess","BusinessProcessService","deleteWorkFlow","DELETE /bpmapi/workflowStatus/delete","","","","","",""
"BusinessProcess","BusinessProcessService","listVariableDeclare","GET /bpmapi/variableDeclare/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
